from,to,mode,distance_km,transit_time,capacity,unit_cost
shenyang,jilin,rail,354.1598600741277,1,5000.0,637.4877481334299
jilin,tonghua,road,247.78869728839277,0,5000.0,1115.0491377977673
tonghua,jilin,road,247.78869728839277,0,5000.0,1115.0491377977673
jilin,tonghua,rail,247.78869728839277,1,5000.0,446.019655119107
tonghua,jilin,rail,247.78869728839277,1,5000.0,446.019655119107
harbin,shenyang,road,520.1919085782448,0,5000.0,2340.8635886021016
shenyang,harbin,road,520.1919085782448,0,5000.0,2340.8635886021016
harbin,shenyang,rail,520.1919085782448,1,5000.0,936.3454354408407
shenyang,harbin,rail,520.1919085782448,1,5000.0,936.3454354408407
harbin,jilin,road,210.17171063966697,0,5000.0,945.7726978785014
jilin,harbin,road,210.17171063966697,0,5000.0,945.7726978785014
harbin,jilin,rail,210.17171063966697,1,5000.0,378.30907915140057
jilin,harbin,rail,210.17171063966697,1,5000.0,378.30907915140057
harbin,tonghua,road,455.11691151440135,0,5000.0,2048.026101814806
tonghua,harbin,road,455.11691151440135,0,5000.0,2048.026101814806
harbin,tonghua,rail,455.11691151440135,1,5000.0,819.2104407259225
tonghua,harbin,rail,455.11691151440135,1,5000.0,819.2104407259225
